tech_filename,tech_timestamp_chargement,objectid_pf_pb,objectid_pt_pb,nb_fibres_connectees_hs,nb_fibres_connectees_utilisees,nb_fibres_connectees_libres,nb_fibres_non_connectees_hs,nb_fibres_non_connectees_utilisees,nb_fibres_non_connectees_libres
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.15421E+18,9.15421E+18,0,0,0,1,3,2
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.15597E+18,,0,0,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.13414E+18,9.13414E+18,0,7,0,0,0,1
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.16159E+18,9.16159E+18,0,0,0,0,1,5
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.15534E+18,9.15534E+18,1,5,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.15999E+18,9.15999E+18,0,0,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.16148E+18,9.16148E+18,0,0,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.15669E+18,9.15586E+18,2,4,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.13866E+18,9.13866E+18,0,5,0,0,1,17
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.15121E+18,9.15121E+18,0,6,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.15741E+18,9.15751E+18,0,64,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.16036E+18,9.16036E+18,0,0,0,0,0,1
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.13189E+18,9.13189E+18,0,7,0,0,1,20
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.15531E+18,9.15531E+18,0,6,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.14683E+18,9.14683E+18,0,6,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.14122E+18,9.14122E+18,0,12,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.1471E+18,9.1471E+18,0,11,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.15384E+18,9.15831E+18,0,29,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.1457E+18,9.1457E+18,0,0,0,0,4,2
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.15465E+18,9.15465E+18,0,0,0,0,1,5
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.13808E+18,9.13802E+18,1,11,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.14274E+18,9.14274E+18,0,6,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.1558E+18,9.162E+18,0,0,0,0,2,1
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.15973E+18,9.15973E+18,0,0,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.14021E+18,9.14021E+18,0,6,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.15668E+18,9.15537E+18,0,5,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.14916E+18,9.14916E+18,0,6,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.15636E+18,9.15635E+18,0,0,0,0,11,7
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.14271E+18,9.14334E+18,0,8,0,0,0,24
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.15289E+18,9.15101E+18,0,6,0,0,3,3
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.14798E+18,9.14798E+18,0,6,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.1554E+18,9.1554E+18,0,6,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.1413E+18,9.1413E+18,3,9,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.1411E+18,9.1411E+18,0,12,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.15001E+18,9.15001E+18,0,12,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.15549E+18,9.15549E+18,0,5,0,0,0,7
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.15415E+18,9.15415E+18,0,0,0,0,1,5
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.15319E+18,9.15611E+18,0,3,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.14449E+18,9.14449E+18,0,7,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.16024E+18,9.16024E+18,0,0,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,8.10213E+18,8.10174E+18,1,4,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.1602E+18,9.16135E+18,0,169,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.1565E+18,9.1565E+18,0,0,0,0,3,3
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.14944E+18,9.14943E+18,0,6,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.15269E+18,9.15269E+18,0,0,0,0,4,2
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.14552E+18,9.14552E+18,0,0,0,0,6,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.12621E+18,9.12621E+18,0,5,0,0,2,13
