"CODE INTERVENTION","No DESIGNATION","No INTERVENTION","COMMENTAIRE DE SIG","CENTRE","ZONE","REFINT","ETATPIDICOMP","DTPASSPIDICOMP","HEUREPASSPIDICOMP","DTETATPIDICOMP","HEURETATPIDICOMP","DTPREMPLG","HRPREMPLG","FTTH_IMM_OP","FTTH_TYPE_RAC","FTTH_TYPE_SITE","FTTH_ADDUCTABILITE","LIBMATFTTH","REMMATFTTH","REFOCEANE","DISPOSITIF_SPX"
"IQPFTH","299004279","22829473","","CGN","51","47306302","TA","5/9/2023","10:48","5/9/2023","10:48","5/17/2023","13:00","THDB","mono-fibre","Maison individuelle","1 - aise","LIVEBOX:Livebox 5\DECODEUR_1:Decodeur TV UHD","Deja detenu\Deja detenu","",""
"IQSFTH","299880324","22837412","","DOL","11","46809851","TA","5/11/2023","11:50","5/11/2023","11:50","5/22/2023","13:00","THDB","mono-fibre","Immeuble","1 - aise","LIVEBOX:Livebox 5","Livraison a domicile","",""
"IQPFTH","229059550","22790664","","COA","0","41202348","TA","4/20/2023","14:46","4/20/2023","14:46","6/15/2023","13:00","FT","mono-fibre","Maison individuelle","1 - aise","LIVEBOX:Livebox 5\DECODEUR_1:Decodeur TV UHD","Remis au client\Deja detenu","",""
"IQPFTH","297350009","22810127","","ERV","0","46051364","TA\TC\TR","28/04/2023\29/04/2023\10/05/2023","11:51\14:34\09:47","28/04/2023\29/04/2023\10/05/2023","11:51\14:34\09:47","5/10/2023","8:00","THDB","mono-fibre","Maison individuelle","1 - aise","","","",""
"IQPFTH","298634183","22836088","","MOR","46","47340451","TA","5/12/2023","8:45","5/12/2023","8:45","5/25/2023","8:00","SFR FTTH (SFOR)","mono-fibre","Maison individuelle","1 - aise","LIVEBOX:Livebox 5","Livraison a domicile","",""
"IQLFTH","298070061","22781159","","PGT","8","47065298","TA","4/17/2023","14:46","4/17/2023","14:46","5/2/2023","13:00","FT","mono-fibre","Immeuble","","DECODEUR_1:Decodeur TV UHD","Deja detenu","",""
"IQPFTH","296415610","22819331","","PAY","0","47255084","TA\TC","05/05/2023\13/05/2023","08:14\10:11","05/05/2023\13/05/2023","08:14\10:11","5/15/2023","8:00","THDB","mono-fibre","Maison individuelle","1 - aise","LIVEBOX:Livebox 5\DECODEUR_1:second Decodeur TV UHD\DECODEUR_1:Decodeur TV UHD","Livraison a domicile\Deja detenu\Deja detenu","",""
"IQPFTH","296419009","22824168","","SEV","3","47280697","TA\TC\TR","06/05/2023\11/05/2023\12/05/2023","08:08\16:09\18:21","06/05/2023\11/05/2023\12/05/2023","08:08\16:09\18:21","5/12/2023","13:00","THDB","mono-fibre","Maison individuelle","1 - aise","","","",""
"IQPFTH","297450040","22815509","","CPO","0","47238013","TA","5/8/2023","9:50","5/8/2023","9:50","5/23/2023","8:00","THDB","mono-fibre","Maison individuelle","1 - aise","LIVEBOX:Livebox 5","Livraison en point relais","",""
"IQPFTH","296614755","22824170","","LAN","4","47280698","TA","5/6/2023","13:01","5/6/2023","13:01","5/16/2023","13:00","THDB","mono-fibre","Maison individuelle","1 - aise","LIVEBOX:Livebox 5\DECODEUR_1:Decodeur TV UHD","Livraison en point relais\Livraison en point relais","",""
